,Authors,Link,Title,Strategy,Tickers,Date,Opening Price,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,Performance,Article Content
0, Mark Hibben,/article/4034776-apple-oddly-satisfying-touchscreen-mac,Apple: The 'Oddly Satisfying' Touchscreen Mac,Long,AAPL,2017-01-03,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,0,"Undeterred by Apple's (NASDAQ:AAPL) pronouncements regarding ""convergence"" of mobile and traditional PC devices, Neonode (NASDAQ:NEON), a Swedish company, has designed the AirBar. AirBar attaches to the bottom of the screen of a 13"" MacBook Air to give it touch screen functionality. Even Apple Insider has called the experience ""oddly satisfying."" 

 Source: engadget The Absurd Mac Touchscreen It was back in November that Phil Schiller, Apple's SVP of Worldwide Marketing took to the Internet to explain and justify Apple's refusal to endow Macs with touch screens. As reported by Backchannel, he had this to say:  ""We think of the whole platform,"" he says. ""If we were to do Multi-Touch on the screen of the notebook, that wouldn't be enough - then the desktop wouldn't work that way."" And touch on the desktop, he says, would be a disaster. ""Can you imagine a 27-inch iMac where you have to reach over the air to try to touch and do things? That becomes absurd."" He also explains that such a move would mean totally redesigning the menu bar for fingers, in a way that would ruin the experience for those using pointer devices like the touch or mouse. ""You can't optimize for both,"" he says. ""It's the lowest common denominator thinking."" Apple came to this conclusion by testing if touch screens made sense on the Mac. ""Our instincts were that it didn't, but, what the heck, we could be wrong-so our teams worked on that for a number of times over the years,"" says Schiller. ""We've absolutely come away with the belief that it isn't the right thing to do. Our instincts were correct."" 
 For those who might not be familiar with past articles I've written on the subject, I'll just say that I think Schiller is absolutely wrong. In fact, I think the whole issue of accommodating touchscreen mode on a large monitor is a red herring, for the following reasons. No operating system, whether Microsoft's (NASDAQ:MSFT) Windows 10, or Google's (NASDAQ:GOOG) (NASDAQ:GOOGL) Android 7, that implements both touch and pointer driven interfaces forces the user to use one or the other exclusively. So Schiller's statement about users of a 27-inch iMac being forced to use touch on the large screen doesn't make any sense. A properly designed macOS system that supported touchscreens would always allow users the option of using a mouse, touchpad or keyboard. Apple wouldn't have to build touchscreen iMacs, although Microsoft's new Surface Studio indicates that there might be some value in doing so. When I encounter that kind of transparently flawed rationalization, all I can think is that Apple is adrift without adequate product leadership. In this case, all Apple's management can do is steer by the original guidance of Steve Jobs, who declared touchscreen notebooks ""ergonomically terrible"" when the iPad was first introduced. Not that Schiller is completely wrong. There would be some compromises necessary in order to accommodate touch input. He's right that the menu bar would need to be redesigned for touch, with thicker, larger control surfaces. Is that so bad? I find that many of the controls built into things like window frames in macOS to be so tiny that they are difficult to use even with a mouse. Enter AirBar Aside from this issue, I doubt that there is much that would need to be changed to accommodate touch functionality in macOS. This is more or less confirmed by the AirBar. The AirBar attaches to the bottom of the screen, as shown above, in order to detect finger position on the screen. The AirBar has an array of infra-red sensors that detect position, rather than using a capacitive touchscreen.
 Neonode had a prototype designed for the 13"" MacBook Air on display at CES, and AppleInsider found that it wasn't as accurate as a touchscreen, not surprisingly. In addition, the prototype didn't support gesture recognition (swipes and multitouch), although Neonode has given assurance that those features will be included in the delivered product. What I found interesting about AirBar is the fact that there is no change to the macOS user interface whatsoever. AirBar essentially acts like a giant trackpad overlaid on the screen. The mouse cursor simply goes to whatever point on the screen is touched. It's that simple. Apple's point that you wouldn't want to use a vertical touchscreen for an extended period of time has some validity, of course. Your arm would get tired. But the idea that one would have to use touch exclusively for a desktop OS like macOS or Windows has never been a reasonable scenario. Whereas, the flexibility to use a touch screen occasionally has value. There is the obvious scenario where touch is used for hand sketching. Here, touchscreens often support stylus input as well. AirBar supports this automatically, since it doesn't care what object is touching the screen. Whether AirBar will actually be useful for artists remains to be seen. It might not be accurate or responsive enough. Probably, AirBar works best for casual touchscreen uses such as dismissing a pop-up, scrolling a web page, or launching an app. In casual, occasional use, touchscreens are often more convenient than the user interface alternatives, including Apple's new TouchBar. Obviously, Neonode thinks there's a market for touchscreen functionality for the Mac. I think they're right, although it remains to be seen whether AirBar is really a good substitute for a capacitive touchscreen. AirBar has to be manually installed and removed, and the MacBook can't be closed with the AirBar in place. Investor Takeaway It's really hard to believe that Apple worked ""for years"" on this problem, only to conclude that they were right all along. I've seen this phenomenon before. Management goes through the motions of considering an alternative to the current policy, often making a big show of it. But the outcome is a foregone conclusion, because management has already made up its mind.
 Here are the real reasons why Apple doesn't want touchscreens on the Mac, in no particular order:  Jobs said it was a mistake, and Jobs can't be wrong. Microsoft did it first, therefore it has to be wrong. Capacitive touchscreens are expensive, and would lower margins on Mac computers. Touchscreen Macs would cannibalize sales of the iPad.  The reader should feel free to rank these in order of importance to Apple. I make no judgment in that regard other than to observe that none of the above are very good reasons. How long is this nonsense going to go on? I have no idea. This is just one of those issues that cries out for a Product Architect with a coherent vision of where Apple's products should go, rather than the current product stew that Apple's executive leadership are collectively stirring. I continue to regard Apple as a very good company, with strong profitability and growth potential. The potential for repatriation of some of Apple's overseas cash under the Trump Administration is reason enough to buy Apple right now. But no company is perfect, and nowhere is Apple's imperfection more apparent than in its ""Not Invented Here"" mindset. By the way, my friend and fellow SA contributor Brian Bain is hosting a DIY Investing Summit next week. Other SA contributors and I are participating, so the reader might want to check it out. I'll post a link to the Summit as soon as it goes live.
Disclosure: I am/we are long AAPL. 
I wrote this article myself, and it expresses my own opinions. I am not receiving compensation for it (other than from Seeking Alpha). I have no business relationship with any company whose stock is mentioned in this article."
13, Michael Blair,/article/4037110-weak-demand-may-impact-apple-stock,Weak Demand May Impact Apple Stock,Short,AAPL,2017-01-17,120.0,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,0," Disney (NYSE:DIS) has been a solid investment through the years, with things plateauing over the last couple. This comes as ESPN has been a real overhang. However, there could be a catalyst to finally push Disney over $120 a share. 

 Various streaming options and decreasing interest in major sports has caused an exodus of ESPN subscribers. Yet, the theme park and movie studios businesses are still going strong. Some may argue that there are benefits to keeping the company ""intact,"" i.e. diversification benefits. Yet, to an activist investor, the TV business is simply holding Disney back. The consumer products (read: toys), movies and theme parks go together nicely. We could well see an activist, or Disney could become its own activist, and spin off the TV business, which generates some 40% of revenues. With that, the underperforming business will be gone, and it should trade at higher multiples. The original ""cable cowboy"" John Malone has said of an ESPN spinoff - ""If I had to guess, what you will see is a split of Disney with ESPN spun off and, probably, ESPN could be owned and protected by a distributor in the U.S."" The TV network is too costly for Disney to keep running. And most agree with Malone, at least in terms of Disney needing to rid itself of ESPN. In a Citi conference survey, 84% of attendees said that what keeps them from owning Disney is they are unsure how Disney manages the pay-TV ecosystem. Then, without ESPN, Disney could become very interesting, In particular, as a acquisition target with a stronghold in consumer experience - an area that the likes of Apple (NASDAQ:AAPL) might find itself looking to get a more diversified presence in. Or, Disney would be free to tackle new markets, such as buying up Netflix (NASDAQ:NFLX) for streaming or even looking at toymaker Lego.
 The counter argument is that Disney can still use the cash that ESPN generates to invest in its other businesses as well as keep its buybacks and dividend intact. For now, as well, with CEO Bob Iger hoping to retire next year, it's unlikely that Disney does anything aggressive until a new CEO can step in. By that time, ESPN may have ""righted"" itself. The division still brings in a lot of money via advertising and the worst could be over, as ESPN finds a bottoming in its subscriber count. ESPN also has a couple catalysts as well, including moving to being included in smaller TV packages, as well as streaming. It's already moving toward taking content directly to consumers with its investment in BAM. Disney is still one of those long-term holdings, being inherently diversified, and having a stronghold in various consumer-related businesses. I think the prospect of a Disney without ESPN is very appealing and a key catalyst for the company. Yet, even if this takes awhile (until after Iger retires and a new CEO has had a few years to settle in) Disney might be worth a look in the interim. Disclosure: I/we have no positions in any stocks mentioned, and no plans to initiate any positions within the next 72 hours. 
I wrote this article myself, and it expresses my own opinions. I am not receiving compensation for it (other than from Seeking Alpha). I have no business relationship with any company whose stock is mentioned in this article."
282, Alex Cho,/article/4034871-amd-vs-intel-nvidia,AMD Vs. Intel And Nvidia,Long,AMD,2017-01-03,11.43,11.49,9.82,9.91,10.61,13.63,13.49,14.0,15.2,13.04,14.28,14.4,13.7,14.64,13.1,12.79,13.13,13.62,10.04,11.42,11.04,11.12,11.24,12.09,11.93,14.08,12.15,13.81,13.8,14.16,13.61,13.43,12.76,12.05,12.23,12.92,12.55,13.08,12.61,12.71,13.47,14.26,14.1,10.89,11.93,11.09,11.34,11.55,10.03,10.16,10.98,10.46,11.43,0,
288, The Structure Of Price,/article/4037077-amd-will-trumps-china-trade-policy-push-company-back-losses,AMD: Will Trump's China Trade Policy Push The Company Back Into Losses?,Short,AMD,2017-01-17,9.82,9.91,10.61,13.63,13.49,14.0,15.2,13.04,14.28,14.4,13.7,14.64,13.1,12.79,13.13,13.62,10.04,11.42,11.04,11.12,11.24,12.09,11.93,14.08,12.15,13.81,13.8,14.16,13.61,13.43,12.76,12.05,12.23,12.92,12.55,13.08,12.61,12.71,13.47,14.26,14.1,10.89,11.93,11.09,11.34,11.55,10.03,10.16,10.98,10.46,11.43,11.49,9.82,0,
453, Max Greve,/article/4034772-amazon-fire-priced-100-worth-500,"Amazon Fire: Priced At $100, But Worth $500",Long,AMZN,2017-01-03,753.669983,796.919983,809.719971,817.880005,830.380005,807.6400150000003,836.530029,856.4400019999997,848.6400150000003,846.6099849999997,854.590027,856.9699710000001,846.820007,891.51001,907.039978,901.98999,907.409973,948.22998,949.039978,957.969971,970.669983,996.700012,1011.340027,964.909973,995.169983,993.97998,953.659973,996.469971,1010.039978,1038.949951,987.780029,992.27002,983.299988,953.289978,946.02002,965.27002,977.960022,974.190002,939.789978,959.190002,990.98999,1006.340027,966.299988,1110.849976,1120.660034,1129.170044,1126.310059,1195.829956,1133.949951,1168.920044,1190.579956,1176.76001,753.669983,0,
458, Celeritas Investments,/article/4039392-red-flag-amazon-investors-worry,The Red Flag That Amazon Investors Should Worry About,Short,AMZN,2017-01-23,817.880005,830.380005,807.6400150000003,836.530029,856.4400019999997,848.6400150000003,846.6099849999997,854.590027,856.9699710000001,846.820007,891.51001,907.039978,901.98999,907.409973,948.22998,949.039978,957.969971,970.669983,996.700012,1011.340027,964.909973,995.169983,993.97998,953.659973,996.469971,1010.039978,1038.949951,987.780029,992.27002,983.299988,953.289978,946.02002,965.27002,977.960022,974.190002,939.789978,959.190002,990.98999,1006.340027,966.299988,1110.849976,1120.660034,1129.170044,1126.310059,1195.829956,1133.949951,1168.920044,1190.579956,1176.76001,753.669983,796.919983,809.719971,817.880005,0,
611, Josh Arnold,/article/4034229-three-hikes-coming-2017-buy-bank-america,Three Hikes Are Coming In 2017: Buy Bank Of America,Long,BAC,2017-01-03,22.530001,22.549999,22.049999,22.559999,22.950001,23.120001,23.4,24.780001,24.57,25.25,25.299999,24.440001,23.030001,23.59,23.02,22.809999,23.629999,23.610001,23.959999,24.059999,23.040001,22.91,22.41,23.780001,23.91,22.889999,24.68,24.889999,24.02,23.91,24.120001,24.959999,24.42,23.379999,23.719999,23.309999,23.360001,24.700001,24.76,25.620001,25.85,26.24,27.16,27.6,27.75,26.4,26.74,26.59,29.059999,28.940001,29.48,29.780001,22.530001,0,
655, Labutes IR,/article/4071553-bank-america-better-value-elsewhere,Bank Of America: There Is Better Value Elsewhere,Short,BAC,2017-05-08,23.959999,24.059999,23.040001,22.91,22.41,23.780001,23.91,22.889999,24.68,24.889999,24.02,23.91,24.120001,24.959999,24.42,23.379999,23.719999,23.309999,23.360001,24.700001,24.76,25.620001,25.85,26.24,27.16,27.6,27.75,26.4,26.74,26.59,29.059999,28.940001,29.48,29.780001,22.530001,22.549999,22.049999,22.559999,22.950001,23.120001,23.4,24.780001,24.57,25.25,25.299999,24.440001,23.030001,23.59,23.02,22.809999,23.629999,23.610001,23.959999,0,
729, Orange Peel Investments,/article/4034194-blackberry-worth-least-14_97-autonomous-driving-company,BlackBerry Worth At Least $14.97 As An Autonomous Driving Company,Long,BB,2017-01-03,6.96,7.12,7.16,7.13,7.05,7.01,7.39,7.32,7.1,6.76,7.02,7.2,7.09,7.8,7.71,8.77,9.29,9.32,9.4,9.63,11.32,10.61,11.15,10.6,10.74,10.265,9.91,9.86,9.94,10.09,9.38,9.1,8.95,8.58,8.99,9.01,9.16,9.26,9.14,11.34,11.27,11.37,11.0,11.09,10.97,10.69,10.24,10.88,10.44,10.56,10.94,11.28,6.96,0,
731, Kayode Omotosho,/article/4038324-blackberry-anxious-nothing-2017,BlackBerry: Be Anxious For Nothing In 2017,Short,BB,2017-01-17,7.16,7.13,7.05,7.01,7.39,7.32,7.1,6.76,7.02,7.2,7.09,7.8,7.71,8.77,9.29,9.32,9.4,9.63,11.32,10.61,11.15,10.6,10.74,10.265,9.91,9.86,9.94,10.09,9.38,9.1,8.95,8.58,8.99,9.01,9.16,9.26,9.14,11.34,11.27,11.37,11.0,11.09,10.97,10.69,10.24,10.88,10.44,10.56,10.94,11.28,6.96,7.12,7.16,0,
804, Daniel Jones,/article/4034953-major-news-chesapeake-energy-corp,Major News From Chesapeake Energy Corp.,Long,CHK,2017-01-03,6.92,6.87,7.01,6.68,6.46,6.38,6.33,6.08,5.62,5.35,5.33,5.18,5.16,5.92,6.23,5.69,5.38,5.31,5.55,5.57,5.73,5.1,4.89,5.06,4.99,4.67,5.12,4.66,4.85,4.66,4.96,4.35,4.07,3.82,3.65,3.7,3.63,4.05,4.37,4.35,4.19,3.82,3.61,3.84,4.18,4.15,3.87,3.81,3.95,3.83,3.69,4.0,6.92,1,
887, Marten Ariens,/article/4035055-worst-behind-chipotle-mexican-grill,Is The Worst Behind Chipotle Mexican Grill?,Long,CMG,2017-01-03,374.769989,395.059998,405.869995,407.720001,417.950012,395.589996,414.140015,432.359985,421.670013,411.679993,405.869995,396.369995,414.959991,452.75,454.279999,469.89001500000006,468.790009,477.579987,471.14999400000005,495.30999800000006,482.790009,475.700012,472.600006,461.549988,458.910004,413.98999,417.329987,407.549988,392.0,339.980011,343.769989,339.450012,322.399994,308.589996,312.019989,308.320007,305.140015,301.869995,320.829987,301.809998,303.920013,320.390015,320.450012,268.700012,275.769989,277.5,283.25,274.519989,315.600006,313.390015,313.420013,295.519989,374.769989,0,
890, Taylor Dart,/article/4036745-chipotle-burrito-bounce,Chipotle: Burrito Bounce?,Short,CMG,2017-01-09,395.059998,405.869995,407.720001,417.950012,395.589996,414.140015,432.359985,421.670013,411.679993,405.869995,396.369995,414.959991,452.75,454.279999,469.89001500000006,468.790009,477.579987,471.14999400000005,495.30999800000006,482.790009,475.700012,472.600006,461.549988,458.910004,413.98999,417.329987,407.549988,392.0,339.980011,343.769989,339.450012,322.399994,308.589996,312.019989,308.320007,305.140015,301.869995,320.829987,301.809998,303.920013,320.390015,320.450012,268.700012,275.769989,277.5,283.25,274.519989,315.600006,313.390015,313.420013,295.519989,374.769989,395.059998,0,
950, Activist Stocks,/article/4037689-disney-spinoff-catalyst,Disney: Spinoff Catalyst,Long,DIS,2017-01-17,107.970001,107.120003,110.940002,109.57,109.650002,110.010002,110.230003,110.669998,111.519997,112.709999,112.379997,113.199997,112.43,113.779999,113.699997,114.730003,111.419998,109.129997,107.629997,108.339996,106.519997,107.040001,105.370003,105.57,107.459999,103.589996,104.790001,107.0,109.93,106.349998,101.400002,101.169998,102.559998,101.599998,97.089996,98.099998,99.57,99.860001,99.57,98.129997,98.699997,98.040001,100.639999,104.739998,102.75,102.790001,110.220001,106.830002,111.029999,108.120003,106.080002,108.360001,107.970001,0,
959, Max Greve,/article/4056111-sign-espn-stabilizing-disneys-stock-must-fall,"No Sign ESPN Is Stabilizing, Disney's Stock Must Fall",Short,DIS,2017-03-13,111.519997,112.709999,112.379997,113.199997,112.43,113.779999,113.699997,114.730003,111.419998,109.129997,107.629997,108.339996,106.519997,107.040001,105.370003,105.57,107.459999,103.589996,104.790001,107.0,109.93,106.349998,101.400002,101.169998,102.559998,101.599998,97.089996,98.099998,99.57,99.860001,99.57,98.129997,98.699997,98.040001,100.639999,104.739998,102.75,102.790001,110.220001,106.830002,111.029999,108.120003,106.080002,108.360001,107.970001,107.120003,110.940002,109.57,109.650002,110.010002,110.230003,110.669998,111.519997,1,
1027, Bill Maurer,/article/4036159-dryships-massive-dilution-sound,DryShips: How Does Massive Dilution Sound?,Short,DRYS,2017-01-09,21403.20313,12700.80176,5291.990234000001,2410.795654,5497.790039,4645.191406,3214.394287,1832.59668,1283.797729,1734.596924,1352.397583,1371.997559,1313.197632,607.5988769999999,472.850311,320.950195,257.25015299999995,252.350159,155.750153,119.700119,95.200096,67.90007,65.10006700000001,41.650043,16.380016,7.210007000000001,6.440006,6.230006,1.67,1.08,1.3,3.35,3.31,3.09,1.99,2.49,2.54,2.32,2.76,3.25,3.22,3.83,4.3,4.49,3.97,4.15,4.12,4.23,4.07,3.74,3.36,28459.20508,21403.20313,1,
1028, Quad 7 Capital,/article/4037922-dryships-party-continues,DryShips: The Party Continues,Long,DRYS,2017-01-17,12700.80176,5291.990234000001,2410.795654,5497.790039,4645.191406,3214.394287,1832.59668,1283.797729,1734.596924,1352.397583,1371.997559,1313.197632,607.5988769999999,472.850311,320.950195,257.25015299999995,252.350159,155.750153,119.700119,95.200096,67.90007,65.10006700000001,41.650043,16.380016,7.210007000000001,6.440006,6.230006,1.67,1.08,1.3,3.35,3.31,3.09,1.99,2.49,2.54,2.32,2.76,3.25,3.22,3.83,4.3,4.49,3.97,4.15,4.12,4.23,4.07,3.74,3.36,28459.20508,21403.20313,12700.80176,1,
1119, Orange Peel Investments,/article/4034766-ford-december-china-important-u-s,Ford In December: Why China Is More Important Than The U.S.,Long,F,2017-01-03,12.59,12.63,12.61,12.31,12.37,12.52,12.56,12.69,12.66,12.52,12.54,12.28,11.46,11.44,11.25,11.28,11.43,11.42,11.13,10.94,11.1,11.08,11.25,11.28,11.24,11.18,11.56,11.34,11.74,11.29,11.22,10.92,10.91,10.57,10.79,11.36,11.41,11.63,11.94,12.09,12.34,12.12,12.04,12.1,12.33,12.16,12.13,12.11,12.63,12.58,12.66,12.6,12.59,1,
1132, Short Only,/article/4056114-short-ford,Short Ford,Short,F,2017-03-13,12.54,12.28,11.46,11.44,11.25,11.28,11.43,11.42,11.13,10.94,11.1,11.08,11.25,11.28,11.24,11.18,11.56,11.34,11.74,11.29,11.22,10.92,10.91,10.57,10.79,11.36,11.41,11.63,11.94,12.09,12.34,12.12,12.04,12.1,12.33,12.16,12.13,12.11,12.63,12.58,12.66,12.6,12.59,12.63,12.61,12.31,12.37,12.52,12.56,12.69,12.66,12.52,12.54,1,
